ICD10,ICD10 String,PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string
C68,Malignant neoplasm of other and unspecified urinary organs,189.4,Malignant neoplasm of other urinary organs,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",Both,0.0,2.0,neoplasms
C68.0,Malignant neoplasm: Urethra,189.4,Malignant neoplasm of other urinary organs,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",Both,0.0,2.0,neoplasms
C68.1,Malignant neoplasm: Paraurethral gland,189.4,Malignant neoplasm of other urinary organs,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",Both,0.0,2.0,neoplasms
C68.8,Malignant neoplasm: Overlapping lesion of urinary organs,189.4,Malignant neoplasm of other urinary organs,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",Both,0.0,2.0,neoplasms
C68.9,"Malignant neoplasm: Urinary organ, unspecified",189.4,Malignant neoplasm of other urinary organs,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs",Both,0.0,2.0,neoplasms
C69,Malignant neoplasm of eye and adnexa,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.0,Malignant neoplasm: Conjunctiva,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.1,Malignant neoplasm: Cornea,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.2,Malignant neoplasm: Retina,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.3,Malignant neoplasm: Choroid,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.4,Malignant neoplasm: Ciliary body,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.5,Malignant neoplasm: Lacrimal gland and duct,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.6,Malignant neoplasm: Orbit,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.8,Malignant neoplasm: Overlapping lesion of eye and adnexa,190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C69.9,"Malignant neoplasm: Eye, unspecified",190,Cancer of eye,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",,0.0,2.0,neoplasms
C70,Malignant neoplasm of meninges,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C70.0,Malignant neoplasm: Cerebral meninges,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C70.1,Malignant neoplasm: Spinal meninges,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C70.9,"Malignant neoplasm: Meninges, unspecified",191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71,Malignant neoplasm of brain,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.0,"Malignant neoplasm: Cerebrum, except lobes and ventricles",191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.1,Malignant neoplasm: Frontal lobe,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.2,Malignant neoplasm: Temporal lobe,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.3,Malignant neoplasm: Parietal lobe,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.4,Malignant neoplasm: Occipital lobe,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.5,Malignant neoplasm: Cerebral ventricle,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.6,Malignant neoplasm: Cerebellum,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.7,Malignant neoplasm: Brain stem,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.8,Malignant neoplasm: Overlapping lesion of brain,191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C71.9,"Malignant neoplasm: Brain, unspecified",191.11,Cancer of brain,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.0,Malignant neoplasm: Spinal cord,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.1,Malignant neoplasm: Cauda equina,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.2,Malignant neoplasm: Olfactory nerve,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.3,Malignant neoplasm: Optic nerve,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.4,Malignant neoplasm: Acoustic nerve,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.5,Malignant neoplasm: Other and unspecified cranial nerves,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.8,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system,191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C72.9,"Malignant neoplasm: Central nervous system, unspecified",191.1,Cancer of brain and nervous system,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system",Both,0.0,2.0,neoplasms
C73,Malignant neoplasm of thyroid gland,193,Thyroid cancer,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C74,Malignant neoplasm of adrenal gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C74.0,Malignant neoplasm: Cortex of adrenal gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C74.1,Malignant neoplasm: Medulla of adrenal gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C74.9,"Malignant neoplasm: Adrenal gland, unspecified",194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75,Malignant neoplasm of other endocrine glands and related structures,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.0,Malignant neoplasm: Parathyroid gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.1,Malignant neoplasm: Pituitary gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.2,Malignant neoplasm: Craniopharyngeal duct,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.3,Malignant neoplasm: Pineal gland,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.4,Malignant neoplasm: Carotid body,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.5,Malignant neoplasm: Aortic body and other paraganglia,194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.8,"Malignant neoplasm: Pluriglandular involvement, unspecified",194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C75.9,"Malignant neoplasm: Endocrine gland, unspecified",194,Cancer of other endocrine glands,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands",,0.0,2.0,neoplasms
C76,Malignant neoplasm of other and ill-defined sites,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.0,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",195.3,"Malignant neoplasm of head, face, and neck",,,,0.0,2.0,neoplasms
C76.1,Malignant neoplasm of other and ill-defined sites: Thorax,164,Cancer of intrathoracic organs,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs,,0.0,2.0,neoplasms
C76.2,Malignant neoplasm of other and ill-defined sites: Abdomen,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.3,Malignant neoplasm of other and ill-defined sites: Pelvis,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.4,Malignant neoplasm of other and ill-defined sites: Upper limb,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.5,Malignant neoplasm of other and ill-defined sites: Lower limb,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.7,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C76.8,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites,195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77,Secondary and unspecified malignant neoplasm of lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.0,"Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.1,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.2,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.3,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.4,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.5,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.8,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C77.9,"Secondary and unspecified malignant neoplasm: Lymph node, unspecified",198.1,Secondary malignancy of lymph nodes,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78,Secondary malignant neoplasm of respiratory and digestive organs,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C78.0,Secondary malignant neoplasm of lung,198.2,Secondary malignancy of respiratory organs,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.1,Secondary malignant neoplasm of mediastinum,198.2,Secondary malignancy of respiratory organs,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.2,Secondary malignant neoplasm of pleura,198.2,Secondary malignancy of respiratory organs,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.3,Secondary malignant neoplasm of other and unspecified respiratory organs,198.2,Secondary malignancy of respiratory organs,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.4,Secondary malignant neoplasm of small intestine,198.3,Secondary malignant neoplasm of digestive systems,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.5,Secondary malignant neoplasm of large intestine and rectum,198.3,Secondary malignant neoplasm of digestive systems,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.6,Secondary malignant neoplasm of retroperitoneum and peritoneum,198.3,Secondary malignant neoplasm of digestive systems,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.7,Secondary malignant neoplasm of liver and intrahepatic bile duct,198.4,Secondary malignant neoplasm of liver,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C78.8,Secondary malignant neoplasm of other and unspecified digestive organs,198.3,Secondary malignant neoplasm of digestive systems,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C79.0,Secondary malignant neoplasm of kidney and renal pelvis,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C79.1,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C79.2,Secondary malignant neoplasm of skin,198.7,Secondary malignant neoplasm of skin,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C79.3,Secondary malignant neoplasm of brain and cerebral meninges,198.5,Secondary malignancy of brain/spine,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C79.4,Secondary malignant neoplasm of other and unspecified parts of nervous system,198.5,Secondary malignancy of brain/spine,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C79.5,Secondary malignant neoplasm of bone and bone marrow,198.6,Secondary malignancy of bone,195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C79.6,Secondary malignant neoplasm of ovary,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C79.7,Secondary malignant neoplasm of adrenal gland,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C79.8,Secondary malignant neoplasm of other specified sites,198,Secondary malignant neoplasm,195-199.99,"Neoplasms: malignant, secondary or uncertain",,0.0,2.0,neoplasms
C80,"Malignant neoplasm, without specification of site",195.1,"Malignant neoplasm, other",195-199.99,"Neoplasms: malignant, secondary or uncertain",Both,0.0,2.0,neoplasms
C81,Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.0,Nodular lymphocyte predominant Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.1,Nodular sclerosis classical Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.2,Mixed cellularity classical Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.3,Lymphocyte depleted classical Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.7,Other classical Hodgkin lymphoma,201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C81.9,"Hodgkin lymphoma, unspecified",201,Hodgkin's disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C82,Follicular lymphoma,202.21,Nodular lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C82.0,Follicular lymphoma grade I,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C82.1,Follicular lymphoma grade II,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C82.2,"Follicular lymphoma grade III, unspecified",202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C82.7,Other types of follicular lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C82.9,"Follicular lymphoma, unspecified",202.21,Nodular lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83,Non-follicular lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.0,Small cell B-cell lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.1,Mantle cell lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.2,Mixed small and large cell (diffuse) non-Hodgkin's lymphoma,202.23,Lymphosarcoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.2,Mixed small and large cell (diffuse) non-Hodgkin's lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.3,Diffuse large B-cell lymphoma,202.24,Large cell lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.4,Immunoblastic (diffuse) non-Hodgkin's lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.5,Lymphoblastic (diffuse) lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.6,Undifferentiated (diffuse) non-Hodgkin's lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.7,Burkitt lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.8,Other non-follicular lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C83.9,"Non-follicular (diffuse) lymphoma, unspecified",202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84,Mature T/NK-cell lymphomas,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.0,Mycosis fungoides,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.1,S̩zary disease,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.2,T-zone lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.3,Lymphoepithelioid lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.4,"Peripheral T-cell lymphoma, not elsewhere classified",202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C84.5,Other mature T/NK-cell lymphomas,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C85,Other and unspecified types of non-Hodgkin lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C85.0,Lymphosarcoma,202.23,Lymphosarcoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C85.1,"B-cell lymphoma, unspecified",202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C85.7,Other specified types of non-Hodgkin lymphoma,202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C85.9,"Non-Hodgkin lymphoma, unspecified",202.2,Non-Hodgkins lymphoma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C88,Malignant immunoproliferative diseases,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C88.0,Waldenstr̦m macroglobulinaemia,270.35,Macroglobulinemia,269-270.99,Disorders of amino-acid transport/metabolism,Both,0.0,3.0,endocrine/metabolic
C88.1,Alpha heavy chain disease,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C88.2,Other heavy chain disease,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C88.3,Immunoproliferative small intestinal disease,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C88.7,Other malignant immunoproliferative diseases,200,Myeloproliferative disease,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C88.9,"Malignant immunoproliferative disease, unspecified",204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C90.0,Multiple myeloma,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C90.1,Plasma cell leukaemia,204,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C90.2,Extramedullary plasmacytoma,204.4,Multiple myeloma,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91,Lymphoid leukaemia,204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.0,Acute lymphoblastic leukaemia [ALL],204.11,"Lymphoid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.1,Chronic lymphocytic leukaemia of B-cell type,204.12,"Lymphoid leukemia, chronic",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.2,Subacute lymphocytic leukemia,204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.3,Prolymphocytic leukaemia of B-cell type,204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.4,Hairy-cell leukaemia,204,Leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,,0.0,2.0,neoplasms
C91.5,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.7,Other lymphoid leukaemia,204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C91.9,"Lymphoid leukaemia, unspecified",204.1,Lymphoid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92,Myeloid leukaemia,204.2,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.0,Acute myeloblastic leukaemia [AML],204.21,"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.1,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",204.22,"Myeloid leukemia, chronic",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.2,"Atypical chronic myeloid leukaemia, BCR/ABL- negative",204.2,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.3,Myeloid sarcoma,204.2,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.4,Acute promyelocytic leukaemia [PML],204.21,"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.5,Acute myelomonocytic leukaemia,204.21,"Myeloid leukemia, acute",200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.7,Other myeloid leukaemia,204.2,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C92.9,"Myeloid leukaemia, unspecified",204.2,Myeloid leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C93,Monocytic leukaemia,204.3,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C93.0,Acute monoblastic/monocytic leukaemia,204.3,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
C93.1,Chronic myelomonocytic leukaemia,204.3,Monocytic leukemia,200-204.99,cancer of lymphatic and hematopoietic tissue,Both,0.0,2.0,neoplasms
